,release_date,rating
1292,[5],7.8
1293,[9],6.7
1294,[5],7.8
1295,[5],8.1
1296,[2],7.5
1297,[10],5.8
1298,[5],7.3
1299,[4],6.5
1300,[1],8.6
1301,[9],8.5
1302,[4],8.4
1303,[1],8.1
1304,[9],8.1
1305,[7],8.5
1306,[8],8.3
1307,[7],8.1
1308,[9],8.1
1309,[10],8.1
1310,[9],8.5
1311,[6],8.2
1312,[9],7.7
1313,[3],8.0
1314,[11],8.0
1315,[5],8.1
1316,[3],8.0
1317,[11],8.0
1318,[7],7.9
1319,[10],7.7
1320,[3],8.1
1321,[7],8.0
1322,[4],7.3
1323,[8],8.5
1324,[10],8.0
1325,[0],8.0
1326,[9],7.7
1327,[11],8.2
1328,[0],7.8
1329,[5],8.0
1330,[2],7.4
1331,[9],7.4
1332,[4],7.4
1333,[11],7.7
1334,[5],7.9
1335,[11],8.0
1336,[1],7.7
1337,[0],7.9
1338,[11],7.4
1339,[9],7.9
1340,[10],8.6
1341,[0],7.6
1342,[6],6.4
1343,[8],8.4
1344,[6],7.5
1345,[6],7.7
1346,[4],7.7
1347,[6],7.6
1348,[5],6.5
1349,[0],7.3
1350,[10],6.6
1351,[4],6.6
1352,[5],7.1
1353,[9],7.7
1354,[4],7.1
1355,[10],6.8
1356,[9],6.7
1357,[4],7.1
1358,[4],7.6
1359,[0],8.1
1360,[3],7.1
1361,[7],7.5
1362,[11],6.5
1363,[11],7.7
1364,[4],8.3
1365,[1],7.5
1366,[2],8.4
1367,[8],7.5
1368,[5],6.8
1369,[4],7.0
1370,[8],7.8
1371,[5],7.0
1372,[6],7.4
1373,[7],7.6
1374,[6],7.2
1375,[8],7.2
1376,[4],6.9
1377,[5],7.2
1378,[7],6.5
1379,[9],7.5
1380,[10],7.3
1381,[5],6.9
1382,[9],8.0
1383,[11],7.5
1384,[4],6.1
1385,[5],7.4
1386,[2],7.2
1387,[11],7.0
1388,[6],6.8
1389,[5],7.5
1390,[6],7.4
1391,[1],4.1
1392,[6],6.4
1393,[8],8.3
1394,[7],6.6
1395,[9],6.3
1396,[5],8.2
1397,[9],6.8
1398,[7],6.7
1399,[9],7.6
1400,[7],8.3
1401,[6],8.6
1402,[6],8.3
1403,[0],8.2
1404,[7],8.4
1405,[0],8.5
1406,[9],7.6
1407,[6],7.6
1408,[11],7.7
1409,[1],8.1
1410,[7],7.0
1411,[0],7.7
1412,[0],8.3
1413,[1],8.1
1414,[2],7.6
1415,[10],7.9
1416,[6],8.5
1417,[11],8.1
1418,[2],8.4
1419,[10],7.8
1420,[11],7.4
1421,[11],8.4
1422,[0],7.6
1423,[0],7.6
1424,[0],8.3
1425,[1],6.3
1426,[10],6.2
1427,[10],7.6
1428,[0],7.3
1429,[5],8.2
1430,[10],8.9
1431,[0],7.2
1432,[3],7.9
1433,[3],6.6
1434,[7],5.9
1435,[4],7.7
1436,[9],7.7
1437,[3],7.0
1438,[11],8.0
1439,[11],8.2
1440,[2],7.5
1441,[9],7.7
1442,[5],6.1
1443,[5],6.9
1444,[7],8.0
1445,[4],8.0
1446,[10],7.8
1447,[5],8.1
1448,[4],5.9
1449,[9],8.3
1450,[11],6.6
1451,[8],8.1
1452,[2],7.7
1453,[5],7.4
1454,[7],8.0
1455,[1],6.3
1456,[2],7.5
1457,[5],7.6
1458,[8],7.9
1459,[3],6.4
1460,[5],7.5
1461,[11],7.8
1462,[7],7.6
1463,[0],8.3
1464,[10],7.4
1465,[7],7.1
1466,[4],6.0
1467,[11],6.9
1468,[4],7.0
1469,[8],8.1
1470,[6],7.7
1471,[5],7.7
1472,[7],5.4
1473,[1],4.5
1474,[8],8.1
1475,[9],8.0
1476,[7],7.4
1477,[11],5.8
1478,[0],6.1
1479,[1],8.0
1480,[0],7.5
1481,[6],7.6
1482,[6],6.7
1483,[2],8.2
1484,[0],7.6
1485,[9],7.6
1486,[4],7.5
1487,[5],7.7
1488,[2],6.6
1489,[5],6.6
1490,[3],7.6
1491,[3],7.2
1492,[2],6.3
1493,[3],7.4
1494,[10],6.9
1495,[5],7.1
