,run_length,genres,release_date,rating,movie_rated_pg-13,movie_rated_r,movie_rated_pg,movie_rated_g,movie_rated_not rated,movie_rated_approved,movie_rated_passed,movie_rated_nc-17,movie_rated_tv-ma,movie_rated_null,movie_rated_gp,movie_rated_m/pg,movie_rated_tv-14,movie_rated_tv-pg
210,2h 14min,Biography; Drama; History; ,10,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
211,2h,Biography; Drama; ,9,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
212,2h,Biography; Drama; Thriller; ,9,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
213,2h 28min,Adventure; Biography; Drama; ,9,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
214,1h 57min,Biography; Drama; ,11,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
215,2h 14min,Biography; Drama; Music; ,10,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
216,1h 57min,Biography; Drama; ,10,8.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False
217,2h 13min,Action; Biography; Drama; ,0,7.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
218,2h 3min,Biography; Drama; Sport; ,8,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
219,2h 19min,Biography; Drama; History; ,10,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
220,2h 14min,Biography; Crime; Drama; ,9,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
221,2h 9min,Biography; Crime; Drama; ,10,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
222,2h 3min,Biography; Drama; Romance; ,10,7.7,True,False,False,False,False,False,False,False,False,False,False,False,False,False
223,2h 37min,Biography; Crime; Drama; ,10,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
224,2h 40min,Biography; Drama; History; ,8,8.3,True,False,False,False,False,False,False,False,False,False,False,False,False,False
225,2h 13min,Biography; Drama; Sport; ,8,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
226,2h 10min,Biography; Comedy; Drama; ,11,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
227,1h 34min,Biography; Drama; ,0,7.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False
228,2h 10min,Biography; Comedy; Drama; ,10,8.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
229,1h 56min,Biography; Drama; Sport; ,11,7.8,True,False,False,False,False,False,False,False,False,False,False,False,False,False
230,2h 1min,Biography; Drama; History; ,1,8.1,True,False,False,False,False,False,False,False,False,False,False,False,False,False
231,2h 50min,Biography; Drama; ,11,7.5,True,False,False,False,False,False,False,False,False,False,False,False,False,False
232,2h 36min,Biography; Drama; History; ,3,8.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
233,2h 9min,Biography; Drama; Sport; ,11,8.2,True,False,False,False,False,False,False,False,False,False,False,False,False,False
234,3h 29min,Biography; Crime; Drama; ,10,7.9,True,False,False,False,False,False,False,False,False,False,False,False,False,False
