,movie_rated,run_length,genres,release_date,rating
199,PG,1h 30min,Animation; Adventure; Comedy; ,28 October 2011 (USA),6.6
200,R,3h 15min,Biography; Drama; History; ,4 February 1994 (USA),8.9
201,R,3h,Biography; Crime; Drama; ,25 December 2013 (USA),8.2
202,R,2h 26min,Biography; Crime; Drama; ,21 September 1990 (USA),8.7
203,R,2h 58min,Biography; Drama; History; ,24 May 1995 (USA),8.3
204,PG-13,2h 15min,Biography; Drama; ,4 January 2002 (USA),8.2
205,PG-13,2h 21min,Biography; Crime; Drama; ,25 December 2002 (USA),8.1
206,R,1h 52min,Biography; Comedy; Drama; ,13 July 2012 (India),8.5
207,R,2h 30min,Biography; Drama; Music; ,28 March 2003 (USA),8.5
208,PG-13,1h 54min,Biography; Drama; Thriller; ,25 December 2014 (USA),8.0
209,R,1h 58min,Biography; Drama; History; ,25 December 2010 (USA),8.0
210,R,2h 14min,Biography; Drama; History; ,8 November 2013 (USA),8.1
211,PG-13,2h,Biography; Drama; ,1 October 2010 (USA),7.7
212,R,2h,Biography; Drama; Thriller; ,12 October 2012 (USA),7.7
213,R,2h 28min,Adventure; Biography; Drama; ,19 October 2007 (USA),8.1
214,PG-13,1h 57min,Biography; Drama; ,15 December 2006 (USA),8.0
215,PG-13,2h 14min,Biography; Drama; Music; ,2 November 2018 (USA),8.0
216,R,1h 57min,Biography; Drama; ,22 November 2013 (USA),8.0
217,R,2h 13min,Action; Biography; Drama; ,16 January 2015 (USA),7.3
218,R,2h 3min,Biography; Drama; Sport; ,27 September 2013 (USA),8.1
219,R,2h 19min,Biography; Drama; History; ,4 November 2016 (USA),8.1
220,PG-13,2h 14min,Biography; Crime; Drama; ,11 October 2013 (USA),7.8
221,R,2h 9min,Biography; Crime; Drama; ,20 November 2015 (USA),8.1
222,PG-13,2h 3min,Biography; Drama; Romance; ,26 November 2014 (USA),7.7
223,R,2h 37min,Biography; Crime; Drama; ,2 November 2007 (USA),7.8
224,R,2h 40min,Biography; Drama; History; ,19 September 1984 (USA),8.3
225,PG-13,2h 13min,Biography; Drama; Sport; ,23 September 2011 (USA),7.6
226,R,2h 10min,Biography; Comedy; Drama; ,23 December 2015 (USA),7.8
227,R,1h 34min,Biography; Drama; ,28 January 2011 (USA),7.6
228,PG-13,2h 10min,Biography; Comedy; Drama; ,16 November 2018 (USA),8.2
229,R,1h 56min,Biography; Drama; Sport; ,17 December 2010 (USA),7.8
230,PG-13,2h 1min,Biography; Drama; History; ,4 February 2005 (USA),8.1
231,PG-13,2h 50min,Biography; Drama; ,25 December 2004 (USA),7.5
232,R,2h 36min,Biography; Drama; History; ,8 April 2005 (USA),8.2
233,R,2h 9min,Biography; Drama; Sport; ,19 December 1980 (USA),8.2
234,R,3h 29min,Biography; Crime; Drama; ,27 November 2019 (USA),7.9
235,PG-13,2h 9min,Biography; Drama; Sport; ,20 November 2009 (USA),7.6
236,R,2h 20min,Biography; Crime; Drama; ,1 July 2009 (USA),7.0
237,R,2h 7min,Biography; Crime; Drama; ,28 February 1997 (USA),7.7
238,R,2h 1min,Action; Biography; Drama; ,10 January 2014 (USA),7.5
239,Approved,3h 48min,Adventure; Biography; Drama; ,11 December 1962 (UK),8.3
240,PG-13,2h 30min,Biography; Drama; History; ,16 November 2012 (USA),7.3
241,R,2h 4min,Biography; Crime; Drama; ,6 April 2001 (USA),7.6
242,R,2h 21min,Biography; Crime; Drama; ,31 October 2008 (USA),7.7
243,PG-13,2h 32min,Action; Biography; Drama; ,15 November 2019 (USA),8.1
244,R,2h 5min,Biography; Crime; Drama; ,25 December 1975 (USA),8.0
245,PG-13,2h 16min,Biography; Drama; Music; ,18 November 2005 (USA),7.8
246,PG-13,1h 36min,Biography; Drama; ,9 September 2016 (USA),7.4
247,PG,1h 45min,Biography; Drama; ,20 December 2017 (USA),7.6
248,PG,3h 11min,Biography; Drama; History; ,25 February 1983 (USA),8.0
249,PG,2h 4min,Biography; Drama; ,10 October 1980 (USA),8.1
250,R,1h 46min,Action; Biography; Drama; ,12 December 2008 (China),8.0
251,PG-13,1h 58min,Biography; Drama; ,6 January 2017 (USA),8.0
252,R,2h 15min,Biography; Crime; Drama; ,10 August 2018 (USA),7.5
253,PG,1h 50min,Biography; Crime; Drama; ,24 September 1969 (USA),8.0
254,G,2h 52min,Biography; Drama; ,1 April 1965 (USA),8.0
255,PG,1h 46min,Biography; Drama; ,17 December 2004 (USA),7.7
256,PG,1h 53min,Biography; Drama; Sport; ,29 September 2000 (USA),7.8
257,PG-13,2h 1min,Action; Adventure; Biography; ,25 September 2015 (USA),7.1
258,PG,2h 7min,Biography; Drama; History; ,6 January 2017 (USA),7.8
259,R,2h 27min,Biography; Drama; History; ,14 August 2015 (USA),7.9
260,PG-13,2h 24min,Biography; Drama; History; ,3 June 2005 (USA),8.0
261,R,2h 5min,Action; Biography; Drama; ,4 November 2005 (USA),7.0
262,R,2h 3min,Biography; Drama; History; ,19 January 2007 (USA),7.7
263,R,1h 59min,Biography; Comedy; Drama; ,19 January 2018 (USA),7.5
