,movie_rated,run_length,release_date,rating,genre_action,genre_adventure,genre_sci-fi,genre_drama,genre_fantasy,genre_war,genre_comedy,genre_animation,genre_crime,genre_thriller,genre_mystery,genre_horror,genre_biography,genre_history,genre_music,genre_sport,genre_romance,genre_western
156,G,1h 36min,15 April 2011 (USA),6.9,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
157,PG,1h 30min,18 September 2009 (USA),6.9,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
158,G,1h 33min,27 June 1997 (USA),7.3,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
159,PG,1h 29min,7 November 2008 (USA),6.6,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
160,G,1h 28min,18 June 1999 (USA),7.3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
161,PG,1h 58min,19 July 2019 (USA),6.9,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
162,PG,1h 27min,25 November 2009 (USA),7.9,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
163,PG,1h 40min,6 February 2009 (USA),7.7,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
164,R,1h 21min,30 June 1999 (USA),7.7,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False
165,PG,1h 28min,13 July 2012 (USA),6.6,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
166,PG,1h 38min,22 March 2013 (USA),7.2,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
167,PG,1h 36min,21 November 2008 (USA),6.8,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
168,G,1h 40min,21 June 2019 (USA),7.8,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
